epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
63,18248.9,0.96115,1.03187,0.49507,0.00217,0.28722,0.90056,0.8854,0.93284,0.75269,0.88388,0.86487,0.90871,0.5718,0.75943,0.89258,0.39796,0.00311,0,0.0003862,0.0003862,0.0003862
64,18536.5,0.96811,1.04531,0.49365,0.0022,0.29069,0.90524,0.87375,0.93071,0.75132,0.89325,0.85452,0.90858,0.56679,0.74913,0.89812,0.40225,0.00292,0,0.0003763,0.0003763,0.0003763
65,18824.4,0.95714,1.0271,0.49709,0.00216,0.30458,0.90632,0.87691,0.93191,0.7556,0.89404,0.85804,0.91202,0.57206,0.75346,0.89422,0.38933,0.00306,0,0.0003664,0.0003664,0.0003664
66,19112.2,0.95736,1.02569,0.49158,0.00214,0.29168,0.89304,0.89056,0.93239,0.75205,0.87822,0.86832,0.90841,0.56835,0.74717,0.88919,0.39796,0.00291,0,0.0003565,0.0003565,0.0003565
67,19400.2,0.96102,1.02362,0.49317,0.00218,0.29011,0.89668,0.88444,0.93176,0.75326,0.88286,0.862,0.90772,0.57385,0.74527,0.88597,0.39406,0.00292,0,0.0003466,0.0003466,0.0003466
68,19688.8,0.94595,1.01807,0.48095,0.00214,0.29115,0.90197,0.887,0.93304,0.75519,0.89357,0.85735,0.90899,0.57178,0.74739,0.89342,0.39507,0.00299,0,0.0003367,0.0003367,0.0003367
69,19975.8,0.94929,1.01661,0.4865,0.00215,0.29221,0.90335,0.88163,0.93117,0.7515,0.88601,0.86261,0.90854,0.56954,0.74489,0.89662,0.3922,0.00295,0,0.0003268,0.0003268,0.0003268
70,20264.7,0.95639,1.03433,0.49005,0.00216,0.28529,0.90316,0.88742,0.93313,0.75446,0.88641,0.86484,0.90753,0.57035,0.73896,0.8883,0.39507,0.00283,0,0.0003169,0.0003169,0.0003169
71,20552.9,0.95096,1.01789,0.47876,0.00212,0.27886,0.897,0.88799,0.93146,0.75351,0.87957,0.86661,0.9066,0.56978,0.74083,0.88971,0.39978,0.00286,0,0.000307,0.000307,0.000307
72,20841.3,0.94308,1.0153,0.47408,0.00213,0.27748,0.90827,0.88426,0.93265,0.75521,0.89178,0.86073,0.90713,0.57062,0.74332,0.88994,0.39541,0.00288,0,0.0002971,0.0002971,0.0002971
73,21128.8,0.94315,1.01062,0.47345,0.0021,0.27187,0.8963,0.88828,0.93435,0.759,0.89603,0.85529,0.91227,0.57775,0.73628,0.89094,0.39197,0.00286,0,0.0002872,0.0002872,0.0002872
74,21416,0.94148,1.00304,0.46636,0.00209,0.27398,0.89934,0.8909,0.93528,0.75953,0.88939,0.86463,0.91311,0.57707,0.73243,0.88778,0.39286,0.0028,0,0.0002773,0.0002773,0.0002773
75,21704.7,0.94048,0.99908,0.46785,0.00206,0.26614,0.8894,0.89891,0.93656,0.76101,0.88231,0.87013,0.91356,0.57819,0.72775,0.88417,0.38916,0.00277,0,0.0002674,0.0002674,0.0002674
76,21991.8,0.936,1.0033,0.46509,0.00209,0.26867,0.90578,0.89307,0.93677,0.76133,0.89553,0.86971,0.91449,0.57725,0.73084,0.88435,0.38264,0.00285,0,0.0002575,0.0002575,0.0002575
77,22280.1,0.94081,0.99723,0.46592,0.00207,0.28673,0.90752,0.88698,0.93439,0.75796,0.89645,0.86352,0.90967,0.57542,0.73564,0.88143,0.38502,0.00285,0,0.0002476,0.0002476,0.0002476
78,22568.6,0.92985,0.99564,0.46235,0.00207,0.26631,0.91183,0.87628,0.93399,0.75919,0.899,0.85667,0.91217,0.57695,0.73475,0.88581,0.39157,0.00282,0,0.0002377,0.0002377,0.0002377
79,22855.6,0.92116,0.98054,0.45582,0.00208,0.26954,0.91012,0.88636,0.93621,0.76182,0.90463,0.86104,0.91385,0.57895,0.73357,0.8868,0.38287,0.00282,0,0.0002278,0.0002278,0.0002278
80,23142.1,0.9148,0.98014,0.44758,0.00208,0.2549,0.90864,0.89102,0.93681,0.76206,0.89833,0.86689,0.91466,0.58094,0.73116,0.88219,0.38369,0.00284,0,0.0002179,0.0002179,0.0002179
81,23430.1,0.92382,0.99333,0.45506,0.00203,0.26504,0.9076,0.88361,0.93528,0.76233,0.89987,0.85744,0.91316,0.57765,0.72994,0.88151,0.38481,0.00281,0,0.000208,0.000208,0.000208
82,23718,0.92419,0.98024,0.44949,0.00203,0.26313,0.90497,0.89195,0.93554,0.76212,0.89646,0.86733,0.91323,0.5743,0.72895,0.88229,0.38735,0.00279,0,0.0001981,0.0001981,0.0001981
83,24005.5,0.91926,0.97855,0.45031,0.00205,0.26292,0.90701,0.88973,0.93635,0.76152,0.8922,0.86963,0.91524,0.57508,0.73336,0.8822,0.3773,0.00282,0,0.0001882,0.0001882,0.0001882
84,24294.2,0.91785,0.97199,0.44373,0.00203,0.25321,0.90945,0.88914,0.93648,0.76238,0.8931,0.86918,0.91443,0.57926,0.73043,0.88214,0.37968,0.0028,0,0.0001783,0.0001783,0.0001783
85,24582.1,0.91767,0.9798,0.44642,0.00202,0.25235,0.90996,0.89073,0.93804,0.76439,0.89742,0.86498,0.91518,0.58011,0.72549,0.87898,0.37895,0.00274,0,0.0001684,0.0001684,0.0001684
86,24869.8,0.91488,0.97047,0.4409,0.002,0.25319,0.90796,0.89385,0.93702,0.76518,0.89275,0.87127,0.9159,0.58104,0.72204,0.87825,0.38276,0.00271,0,0.0001585,0.0001585,0.0001585
87,25158.7,0.90597,0.96738,0.43399,0.00202,0.24623,0.9024,0.8914,0.93578,0.7649,0.89186,0.87,0.91489,0.58158,0.72008,0.88332,0.38665,0.00269,0,0.0001486,0.0001486,0.0001486
88,25445.6,0.89995,0.95862,0.43781,0.00202,0.2495,0.90841,0.88844,0.93495,0.7622,0.89236,0.86959,0.91426,0.57965,0.72264,0.88468,0.38744,0.00272,0,0.0001387,0.0001387,0.0001387
89,25736.6,0.91499,0.97009,0.43559,0.002,0.2522,0.90064,0.89793,0.93778,0.7653,0.88626,0.87641,0.91519,0.58011,0.72114,0.87905,0.37807,0.00272,0,0.0001288,0.0001288,0.0001288
90,26025,0.90311,0.9669,0.43454,0.00196,0.24198,0.90262,0.89639,0.93779,0.76506,0.89273,0.87235,0.91465,0.58129,0.72089,0.88006,0.37955,0.00271,0,0.0001189,0.0001189,0.0001189
91,26354.3,0.82152,0.91941,0.36584,0.00218,0.14481,0.9083,0.89093,0.93711,0.76337,0.8929,0.86635,0.91183,0.57767,0.72309,0.88073,0.3847,0.00269,0,0.000109,0.000109,0.000109
92,26639.8,0.81286,0.90965,0.35686,0.00212,0.13797,0.91055,0.88841,0.93667,0.76346,0.89724,0.86605,0.91295,0.57813,0.72404,0.88026,0.37985,0.0027,0,9.91e-05,9.91e-05,9.91e-05
93,26926,0.80803,0.90744,0.35137,0.00211,0.13839,0.91148,0.88268,0.93663,0.76396,0.89634,0.86193,0.91188,0.57841,0.72239,0.88546,0.37709,0.00269,0,8.92e-05,8.92e-05,8.92e-05
94,27212.7,0.81144,0.90397,0.35041,0.00209,0.13648,0.90565,0.89192,0.93811,0.76442,0.89417,0.86666,0.91345,0.57876,0.72338,0.88548,0.3802,0.0027,0,7.93e-05,7.93e-05,7.93e-05
95,27498.4,0.80452,0.90455,0.34785,0.00209,0.13452,0.90591,0.89497,0.93841,0.76442,0.88983,0.87236,0.91352,0.5791,0.72185,0.88502,0.3745,0.00268,0,6.94e-05,6.94e-05,6.94e-05
96,27784.4,0.80788,0.90174,0.34888,0.00207,0.13624,0.90842,0.8916,0.93864,0.76539,0.90177,0.85984,0.91342,0.5786,0.72042,0.884,0.37644,0.00268,0,5.95e-05,5.95e-05,5.95e-05
97,28070.6,0.8079,0.89777,0.34907,0.00206,0.13482,0.90934,0.89138,0.93848,0.76598,0.90247,0.86227,0.91453,0.57969,0.72036,0.88367,0.37568,0.00268,0,4.96e-05,4.96e-05,4.96e-05
98,28356.2,0.80011,0.90055,0.34657,0.00208,0.13516,0.90283,0.89647,0.93823,0.76655,0.89738,0.86504,0.91455,0.57993,0.72025,0.88262,0.37741,0.00269,0,3.97e-05,3.97e-05,3.97e-05
99,28642.5,0.79942,0.89474,0.33981,0.00206,0.1327,0.90561,0.89534,0.93768,0.76625,0.89437,0.86852,0.91418,0.57927,0.71947,0.88262,0.37854,0.00268,0,2.98e-05,2.98e-05,2.98e-05
100,28928.5,0.80191,0.89389,0.34465,0.00207,0.13443,0.90674,0.89407,0.93774,0.76661,0.8957,0.86801,0.91544,0.58025,0.71873,0.88173,0.37967,0.00267,0,1.99e-05,1.99e-05,1.99e-05
